Datetime,Tweet Id,Text
2022-07-05 18:05:30+00:00,1544381973279408128,"One of the cool things about #StrangerThings4 is how much Eddie reminds me of 80s Robert Downey, Jr and how much Li… https://t.co/HNd6wMhnQD"
2022-07-05 18:04:36+00:00,1544381746527047680,"Since I assume Eddie cranked that amp, there's no way Dustin kneeled in front of the amp like that. He'd flinch or… https://t.co/HEkWbRBpfh"
2022-07-05 18:04:14+00:00,1544381654810202117,Taking bets on how long it takes Kali to show up in Season 5… #strangerthingsseason4
2022-07-05 18:04:11+00:00,1544381641459728405,This season of @Stranger_Things #strangerthingsseason4 *insert gif* but the ending had me in a glass case of emotio… https://t.co/RDzJYaIoCK
2022-07-05 18:04:10+00:00,1544381638897012737,The rising star of crypto now available for use as payment on #shopify! LFG ⚡️#VOLTARMY #VOLTINU #VOLT… https://t.co/aSQ5phyy51
2022-07-05 18:04:04+00:00,1544381611537534976,jopper edit fancam joyce byers jim hopper winona ryder david harbour stranger things i miss you adele… https://t.co/2KdwQli08v
2022-07-05 18:04:00+00:00,1544381595829915651,"If we don't get a Will ✨Villain Era✨ 6 years from now when season 5 drops! 

Will has not had stability or peace si… https://t.co/5ERWA9rOvD"
2022-07-05 18:03:45+00:00,1544381531682209795,Finished watching @Stranger_Things on @netflix and I cannot wait until season 5 comes out. #strangerthingsseason4… https://t.co/wIr6KUumm7
2022-07-05 18:03:30+00:00,1544381470793400322,Mad respect to Joseph Quinn for actually dedicating time to learn and play Master of Puppets for… https://t.co/A9DBwbYcpc
2022-07-05 18:03:14+00:00,1544381403315535874,MAX is my favorite #strangerthingsseason4 https://t.co/jY4VdSH22V
2022-07-05 18:03:11+00:00,1544381390564859904,"God knows, when I saw that the #strangerthingsseason4  was set in 1986, first thing that came to my mind was, this… https://t.co/IAP6OEUcjN"
2022-07-05 18:03:03+00:00,1544381359531212802,"Take that back, I actually enjoyed the ending #strangerthingsseason4"
2022-07-05 18:02:57+00:00,1544381331274174464,"Coming up next week
#strangerthingsseason4 @MattyIceFrates https://t.co/HpZ1uBdVUl"
2022-07-05 18:02:25+00:00,1544381199455592452,@Stranger_Things BRING EDDIE MUNSON BACK - Sign the Petition! https://t.co/sACvrkpHjs via @Change… https://t.co/zLeyEb10Y1
2022-07-05 18:01:50+00:00,1544381051216216064,Would a #strangerthingsseason4 bonus episode would be something you would like? Make sure to vote and send us some… https://t.co/i6PwOyAb6L
2022-07-05 18:01:31+00:00,1544380972375867392,"When you working with a baby leg🦵🏾🤷🏾‍♂️

#ThorLoveAndThunder #INDvENG #shiba #유지민은봐라 #retweet #TrendingNow #viral… https://t.co/tvhFhqlQrC"
2022-07-05 18:00:45+00:00,1544380778548809735,"French Connection Women's Dalia Sheer Dress 
https://t.co/86iPdVgXvw
#WWERaw #TuesdayMotivaton #tuesdayvibe… https://t.co/mQYsYfSGIn"
2022-07-05 17:59:28+00:00,1544380453632835591,2022 so far is not missing like at all #strangerthingsseason4 #TheBoys #TheBatman #thenorthman https://t.co/J8eH65OjdX
2022-07-05 17:58:58+00:00,1544380327858151424,Eddie &amp; Chrissy. The world wasn't ready for them. #strangerthingsseason4 https://t.co/4W66ISz4lk
2022-07-05 17:58:19+00:00,1544380165534482436,Steve telling Nancy he wants 6 nuggets goes to show how out of touch he is with who Nancy is as a person. Jancy des… https://t.co/wYtG7plaJ8
2022-07-05 17:58:13+00:00,1544380139424940032,Why didn't Eddie play Iron Maiden Run to the hills? I demand an answer. #strangerthingsseason4 #Eddiemunsondeservedbetter
2022-07-05 17:57:43+00:00,1544380017194504192,"86’ baby🤟
-
-
-
#eddiemunsonfanart #eddiemunson #fanart #strangerthingsseason4 https://t.co/AKkJg3uSln"
2022-07-05 17:57:41+00:00,1544380008864661507,So I finished watching #StrangerThings4 👀 and decided to do this on #dalle2 inspired on #Eddie's scene 🧐 Did you li… https://t.co/BiDw17a4R5
2022-07-05 17:57:34+00:00,1544379979194064901,"Who do you think has a better relationship with Dustin? Steve or Eddie?
#strangerthingsseason4 https://t.co/YKjQQgjPJ1"
2022-07-05 17:57:13+00:00,1544379890283282434,"Got a feeling Eddie will come back as KAS, he was killed by bats, bats are vampires 
#strangerthingsseason4… https://t.co/rjDxxfNqRZ"
2022-07-05 17:55:41+00:00,1544379505103585280,"In another life, I would be your girl, we’d make all the promises be us against the world ✨ #strangerthingsseason4… https://t.co/6xlX1R3R2U"
2022-07-05 17:55:32+00:00,1544379465505054721,"Ethereum merge is close 😁

#ETH #Ethereum #yrkkh #ENGvsIND #INDvENG  #strangerthingsseason4"
2022-07-05 17:55:05+00:00,1544379350572847104,"#eddiemuson  #masterofpuppets had to be one of the most iconic pieces of #TV of the last year, if not decade!… https://t.co/ZKzRrTB8hc"
2022-07-05 17:54:58+00:00,1544379321531469825,a 4th to remember 💥 #4THJULY #strangerthingsseason4 #ThorLoveAndThunder https://t.co/mpDBhkyYVb
2022-07-05 17:54:37+00:00,1544379233153302529,waiting for stranger things 5 like… #StrangerThings4 #strangerthingsseason4 https://t.co/oaLbJpPzSI
2022-07-05 17:54:29+00:00,1544379202673250304,"So, I finished #strangerthingsseason4 this weekend and I’m just a mess. Thanks for ripping my heart out. K. Bye."
2022-07-05 17:53:55+00:00,1544379058447867904,"What in the #shoegaze are they trying to tell us!? 

This reminds me of Vtg photos of the Eurythmics or album cover… https://t.co/Jv9NUjN9TU"
2022-07-05 17:53:20+00:00,1544378911462760450,Eddie playing Master of Puppets &gt;&gt;&gt; #strangerthingsseason4
2022-07-05 17:53:00+00:00,1544378828650295299,One of the best season ever🔥 #StrangerThings #strangerthingsseason4 #StrangerThings4Vol2
2022-07-05 17:52:44+00:00,1544378762216841217,2024😳 will Netflix still be a thing I two years? Now streaming on the  netflix/disneyplus/quibi powerhouse this 202… https://t.co/dGailCwvzG
2022-07-05 17:52:39+00:00,1544378741488508928,Game of Thrones could have been the greatest series of all time. I only hope #strangerthingsseason4 has a better fi… https://t.co/MimNEbYxRm
2022-07-05 17:52:33+00:00,1544378715320492032,Damn why did they have to kill off Max &amp; Eddie🥺🥺 #strangerthingsseason4 #StrangerThings4 #StrangerThings4Vol2
2022-07-05 17:52:16+00:00,1544378645724254210,"So Eddie Munson had a crush on Chrissy since they were kids.

#StrangerThings4 #strangerthingsseason4 #josephquinn… https://t.co/2brYeNDQdp"
2022-07-05 17:51:37+00:00,1544378478748991488,"lol my dad basically had the same age as steve, eddie, robin and nancy in 86'?? it's so funny? anyone else??… https://t.co/HkZcQ4ei3O"
2022-07-05 17:51:31+00:00,1544378455109804034,Not Eddie!!#strangerthingsseason4
2022-07-05 17:51:18+00:00,1544378401146155008,"Done with stranger things, koi naya tv show suggest kardo! 

#StrangerThings #strangerthingsseason4 #StrangerThings4"
2022-07-05 17:51:17+00:00,1544378397215834114,Watching @Stranger_Things with my family and my dad asking what’s wrong with Will cause he is crying so much and me… https://t.co/uobbdsif3y
2022-07-05 17:50:06+00:00,1544378097449009155,"Do you know all costumes @KizzDaniel wore in #woju #video was not up to 16k 

#oxlade #Machala #Davido #INDvENG… https://t.co/SdinNBseDz"
2022-07-05 17:49:57+00:00,1544378061147328512,"#steveharrington #StrangerThings
#strangerthingsseason4

When Steve says         
that he wants a big    &amp;… https://t.co/HR0lSgzdVA"
2022-07-05 17:49:21+00:00,1544377908495540229,It seems that Master of Puppets is currently flavour of the month chez guitar students at Bourton's School of Music… https://t.co/t89zzks4OB
2022-07-05 17:48:57+00:00,1544377809568759809,I watched this thinking it would help the hormonal mess I am today! I am not ok 😭😭😭“I didn’t run away this time”… https://t.co/IAihTG9L9C
2022-07-05 17:48:51+00:00,1544377782641336324,If I am ever in max’s situation and you need my favorite song…play me a @NICKIMINAJ song and scream “WHERE MY BAD B… https://t.co/mwDpfbkDY4
2022-07-05 17:48:43+00:00,1544377751712501761,lumax edit lucas sinclair max mayfield st stranger things st4 sadie sink caleb mclaughlin elmax millie bobby brown… https://t.co/cclzxNupte
2022-07-05 17:48:18+00:00,1544377647039381507,"Eddie M. My style ( boceto )

#strangerthingsseason4 #art #drawing https://t.co/Z30BcF78ju"
2022-07-05 17:48:03+00:00,1544377582199660548,Joseph Quinn got me on my knees. #josephquinn #strangerthingsseason4 #eddiemuson https://t.co/a94o3hbYIu
2022-07-05 17:47:00+00:00,1544377319447470087,"This was probably a poorly worded tweet, but they need to be more mindful of things like this. 

They could have le… https://t.co/xHkAsmnpRy"
2022-07-05 17:46:32+00:00,1544377202925502466,lumax edit lucas sinclair max mayfield st stranger things st4 sadie sink caleb mclaughlin elmax millie bobby brown… https://t.co/I8ylnkXcG8
2022-07-05 17:46:22+00:00,1544377156897325063,"Netflix and chill
#Netflix #strangerthingsseason4 https://t.co/p78SottG8A"
2022-07-05 17:46:20+00:00,1544377150962339843,Absolutely loved #StrangerThings4   but now we’ve got to wait for #StrangerThings5 to come. It makes me laugh and c… https://t.co/BPzEMWfMHW
